Pickup_Point_ID,Regional,Province,Suburb,Waybill,Customer_ID,Order_Date,total_weight,total_courier_charge,total_Sales_amount,number_of_customers,number_of_orders
pup1389,Township,Gauteng,Witpoort,PAR4091110240,CUS1835,2022-03-14 00:00:00.000,2.00,53.30,69.00,1,1
pup1389,Township,Gauteng,Witpoort,PAR4091146094,CUS1716,2022-03-24 00:00:00.000,4.00,84.39,90.00,1,1
pup139,Regional,North West,Rustenburg,PAR4068706142,CUS1106,2022-03-17 00:00:00.000,2.00,84.39,97.00,1,1
pup1390,Township,Gauteng,Alexandra,PAR4068729412,CUS1635,2022-03-22 00:00:00.000,5.00,84.39,85.00,1,1
pup1390,Township,Gauteng,Alexandra,PAR4091111972,CUS1350,2022-03-09 00:00:00.000,1.00,84.39,96.00,1,1
pup1392,Regional,Mpumalanga,Malelane,PAR4091155818,CUS1712,2022-03-28 00:00:00.000,3.00,217.58,282.00,1,1
pup1396,Central,Western Cape,Delft,PAR4068725934,CUS1834,2022-03-18 00:00:00.000,2.00,53.30,58.00,1,1
pup1396,Central,Western Cape,Delft,PAR4068753907,CUS1325,2022-03-30 00:00:00.000,1.00,84.39,95.00,1,1
pup1398,Central,Western Cape,Belhar,PAR4091130527,CUS1222,2022-03-10 00:00:00.000,2.00,53.30,64.00,1,1
pup1399,Regional,KwaZulu-Natal,Mount Edgecombe,PAR4091158276,CUS1387,2022-03-23 00:00:00.000,2.00,217.58,228.00,1,1
pup1420,Regional,Western Cape,Big Bay,PAR4068791379,CUS1104,2022-03-15 00:00:00.000,2.00,0.00,60.00,1,1
pup1423,Township,Western Cape,Parklands,PAR4068769662,CUS2085,2022-03-31 00:00:00.000,2.00,53.30,76.00,1,1
pup1423,Township,Western Cape,Parklands,PAR4068787573,CUS1760,2022-03-28 00:00:00.000,7.00,73.83,101.00,1,1
pup1423,Township,Western Cape,Parklands,v$~,CUS1549,2022-03-14 00:00:00.000,3.00,0.00,60.00,1,1
pup1424,Central,Western Cape,Hermanus,PAR4091152039,CUS1825,2022-03-29 00:00:00.000,5.00,84.39,104.00,1,1
pup1424,Central,Western Cape,Hermanus,PAR4091186554,CUS1228,2022-03-16 00:00:00.000,1.00,0.00,60.00,1,1
pup1427,Central,Western Cape,Bellville,PAR4091187878,CUS1676,2022-03-09 00:00:00.000,7.00,42.16,44.00,1,1
pup1427,Central,Western Cape,Bellville,PAR4091198704,CUS1666,2022-03-11 00:00:00.000,3.00,53.30,71.00,1,1
pup1431,Central,Gauteng,Menlyn,PAR4091194824,CUS1531,2022-03-24 00:00:00.000,2.00,73.83,82.00,1,1
pup1432,Township,Free State,Willows,PAR4091113171,CUS2053,2022-03-29 00:00:00.000,1.00,73.83,77.00,1,1
pup1433,Regional,Western Cape,Mitchells Plain,PAR4091164769,CUS1482,2022-03-18 00:00:00.000,6.00,53.30,77.00,1,1
pup1433,Regional,Western Cape,Mitchells Plain,PAR4091179901,CUS1121,2022-03-22 00:00:00.000,2.00,84.39,125.00,1,1
pup1434,Central,Gauteng,Sandton,PAR4068714413,CUS1014,2022-03-30 00:00:00.000,1.00,42.16,57.00,1,1
pup1434,Central,Gauteng,Sandton,PAR4068740970,CUS1294,2022-03-30 00:00:00.000,1.00,84.39,120.00,1,1
pup1436,Regional,Eastern Cape,Newton Park,PAR4091110589,CUS2114,2022-03-09 00:00:00.000,4.00,42.16,55.00,1,1
pup1437,Township,KwaZulu-Natal,Umhlanga Ridge,PAR4091193853,CUS1632,2022-03-09 00:00:00.000,1.00,53.30,74.00,1,1
pup1442,Township,Western Cape,Brackenfell North,PAR4068792154,CUS1946,2022-03-30 00:00:00.000,2.00,73.83,106.00,1,1
pup1443,Central,Western Cape,Century City,PAR4068752207,CUS1442,2022-03-16 00:00:00.000,4.00,73.83,94.00,1,1
pup1445,Regional,KwaZulu-Natal,Durban,PAR4068719623,CUS2160,2022-03-22 00:00:00.000,0.00,0.00,0.00,1,1
pup1448,Regional,Gauteng,Karenpark,PAR4091189467,CUS1133,2022-03-15 00:00:00.000,2.00,84.39,103.00,1,1
pup1452,Township,Gauteng,Menlyn,PAR4068772420,CUS1187,2022-03-15 00:00:00.000,2.00,42.16,45.00,1,1
pup1453,Central,Western Cape,Mitchells Plain,PAR4068787781,CUS1533,2022-03-26 00:00:00.000,2.00,73.83,82.00,1,1
pup1455,Township,Gauteng,Sandton,PAR4091171568,CUS1688,2022-03-22 00:00:00.000,4.00,84.39,93.00,1,1
pup1456,Township,Gauteng,Pretoria,PAR4068765083,CUS1507,2022-03-26 00:00:00.000,3.00,84.39,121.00,1,1
pup1458,Central,KwaZulu-Natal,Umhlanga Ridge,PAR4068760636,CUS1655,2022-03-25 00:00:00.000,2.00,73.83,108.00,1,1
pup1458,Central,KwaZulu-Natal,Umhlanga Ridge,PAR4091155432,CUS1040,2022-03-11 00:00:00.000,3.00,53.30,54.00,1,1
pup1458,Central,KwaZulu-Natal,Umhlanga Ridge,PAR4091158664,CUS2174,2022-03-17 00:00:00.000,2.00,84.39,85.00,1,1
pup1459,Township,Western Cape,Cape Town,PAR4091140104,CUS1126,2022-03-11 00:00:00.000,5.00,84.39,97.00,1,1
pup1465,Regional,Limpopo,Tzaneen,PAR4068709092,CUS1411,2022-03-22 00:00:00.000,3.00,217.58,298.00,1,1
pup1465,Regional,Limpopo,Tzaneen,PAR4091147753,CUS1690,2022-03-23 00:00:00.000,2.00,84.39,92.00,1,1
pup147,Township,Gauteng,Linden,PAR4091168063,CUS1935,2022-03-23 00:00:00.000,4.00,73.83,77.00,1,1
pup1470,Central,Gauteng,Benoni,PAR4091139051,CUS1160,2022-03-14 00:00:00.000,1.00,84.39,118.00,1,1
pup1472,Regional,Western Cape,Mitchells Plain,PAR4091193990,CUS1581,2022-03-11 00:00:00.000,4.00,53.30,64.00,1,1
pup1476,Township,Free State,Welkom,PAR4091145931,CUS1266,2022-03-17 00:00:00.000,3.00,84.39,96.00,1,1
pup1480,Regional,Eastern Cape,East London,PAR4091105804,CUS1687,2022-03-16 00:00:00.000,4.00,84.39,126.00,1,1
pup1488,Central,Gauteng,Garsfontein,PAR4068738919,CUS1143,2022-03-29 00:00:00.000,4.00,73.83,89.00,1,1
pup1489,Township,KwaZulu-Natal,Dawncliffe,PAR4091148263,CUS1423,2022-03-16 00:00:00.000,2.00,53.30,55.00,1,1
pup1491,Central,Gauteng,Midrand,PAR4091123297,CUS1441,2022-03-14 00:00:00.000,1.00,53.30,69.00,1,1
pup1494,Central,Gauteng,Little Falls,PAR4091140878,CUS2081,2022-03-25 00:00:00.000,2.00,53.30,57.00,1,1
pup1494,Central,Gauteng,Little Falls,PAR4091144551,CUS1044,2022-03-11 00:00:00.000,3.00,0.00,60.00,1,1
pup1496,Central,Western Cape,Bellville,PAR4091126500,CUS1556,2022-03-11 00:00:00.000,2.00,84.39,91.00,1,1
pup1496,Central,Western Cape,Bellville,PAR4091186854,CUS1560,2022-03-18 00:00:00.000,4.00,0.00,60.00,1,1
pup1503,Central,Gauteng,Bedfordview,PAR4068745383,CUS1203,2022-03-17 00:00:00.000,2.00,53.30,68.00,1,1
pup1546,Central,KwaZulu-Natal,Umhlanga Ridge,PAR4091197964RRB1,CUS1027,2022-03-17 00:00:00.000,1.00,0.00,60.00,1,1
pup1556,Central,Gauteng,Vanderbijlpark,PAR4068750445,CUS1824,2022-03-18 00:00:00.000,3.00,217.58,297.00,1,1
pup1556,Central,Gauteng,Vanderbijlpark,PAR4091119691,CUS1493,2022-03-10 00:00:00.000,1.00,84.39,123.00,1,1
pup1558,Township,KwaZulu-Natal,Pietermaritzburg,PAR4068734648,CUS2187,2022-03-25 00:00:00.000,4.00,73.83,93.00,1,1
pup1558,Township,KwaZulu-Natal,Pietermaritzburg,PAR4091144253,CUS2138,2022-03-16 00:00:00.000,3.00,0.00,60.00,1,1
pup1558,Township,KwaZulu-Natal,Pietermaritzburg,PAR4091199505,CUS2027,2022-03-10 00:00:00.000,2.00,84.39,108.00,1,1
pup1560,Regional,Gauteng,Benoni,PAR4091153985,CUS1676,2022-03-15 00:00:00.000,4.00,53.30,72.00,1,1
pup1560,Regional,Gauteng,Benoni,PAR4091173723,CUS1917,2022-03-22 00:00:00.000,3.00,84.39,118.00,1,1
pup1561,Regional,Gauteng,Midrand,PAR4068751035,CUS1517,2022-03-31 00:00:00.000,2.00,84.39,100.00,1,1
pup1561,Regional,Gauteng,Midrand,PAR4091156132,CUS1205,2022-03-22 00:00:00.000,2.00,84.39,99.00,1,1
pup1566,Regional,Gauteng,Sandton,PAR4091140883,CUS1138,2022-03-15 00:00:00.000,2.00,84.39,124.00,1,1
pup1566,Regional,Gauteng,Sandton,PAR4091173245,CUS1776,2022-03-10 00:00:00.000,3.00,53.30,68.00,1,1
pup1568,Regional,North West,Rustenburg,PAR4068741832,CUS1836,2022-03-25 00:00:00.000,2.00,53.30,77.00,1,1
pup1575,Township,Gauteng,Johannesburg,PAR4091105533,CUS2166,2022-03-09 00:00:00.000,1.00,53.30,62.00,1,1
pup1575,Township,Gauteng,Johannesburg,PAR4091117897,CUS1437,2022-03-30 00:00:00.000,4.00,73.83,79.00,1,1
pup1579,Township,Limpopo,Groblersdal,PAR4068705577,CUS1240,2022-03-29 00:00:00.000,1.00,84.39,117.00,1,1
pup1579,Township,Limpopo,Groblersdal,PAR4068784858,CUS1847,2022-03-30 00:00:00.000,2.00,73.83,84.00,1,1
pup1586,Township,Western Cape,Sunningdale,PAR4091163365,CUS1683,2022-03-09 00:00:00.000,2.00,42.16,61.00,1,1
pup1594,Regional,KwaZulu-Natal,Tongaat,PAR4068780114,CUS1076,2022-03-12 00:00:00.000,3.00,73.83,100.00,1,1
pup1595,Township,Gauteng,PRETORIUSPARK,PAR4068717512,CUS2115,2022-03-22 00:00:00.000,4.00,73.83,85.00,1,1
pup1595,Township,Gauteng,PRETORIUSPARK,PAR4091149904,CUS1776,2022-03-09 00:00:00.000,2.00,0.00,60.00,1,1
pup1602,Regional,Eastern Cape,Jeffreys Bay,PAR4068725875,CUS1863,2022-03-15 00:00:00.000,3.00,84.39,100.00,1,1
pup1611,Central,Western Cape,Rylands,PAR4091109301,CUS1776,2022-03-10 00:00:00.000,4.00,84.39,120.00,1,1
pup1611,Central,Western Cape,Rylands,PAR4091114704,CUS1667,2022-03-09 00:00:00.000,2.00,42.16,51.00,1,1
pup1611,Central,Western Cape,Rylands,PAR4091180960,CUS1328,2022-03-15 00:00:00.000,6.00,0.00,60.00,1,1
pup1614,Central,Gauteng,Vanderbijlpark,PAR4068704915,CUS1208,2022-03-22 00:00:00.000,3.00,73.83,80.00,1,1
pup1617,Central,KwaZulu-Natal,Newcastle,PAR4091156661,CUS1484,2022-03-10 00:00:00.000,3.00,0.00,60.00,1,1
pup1617,Central,KwaZulu-Natal,Newcastle,PAR4091194757,CUS2025,2022-03-09 00:00:00.000,2.00,42.16,55.00,1,1
pup1618,Central,North West,Wolmaransstad,PAR4068773852,CUS1495,2022-03-30 00:00:00.000,2.00,84.39,100.00,1,1
pup1624,Central,Gauteng,Johannesburg,PAR4091100790,CUS1234,2022-03-22 00:00:00.000,3.00,0.00,60.00,1,1
pup1625,Township,KwaZulu-Natal,Ballito,PAR4091100647,CUS1591,2022-03-09 00:00:00.000,2.00,53.30,59.00,1,1
pup1625,Township,KwaZulu-Natal,Ballito,PAR4091193264,CUS1379,2022-03-17 00:00:00.000,3.00,0.00,60.00,1,1
pup1631,Central,Limpopo,Burgersfort,PAR4068737908,CUS1366,2022-03-22 00:00:00.000,1.00,73.83,90.00,1,1
pup1639,Regional,KwaZulu-Natal,Hillcrest,PAR4091150555,CUS1916,2022-03-10 00:00:00.000,3.00,73.83,89.00,1,1
pup1640,Central,Gauteng,Rosebank,PAR4091124892,CUS1880,2022-03-18 00:00:00.000,5.00,84.39,86.00,1,1
pup1640,Central,Gauteng,Rosebank,PAR4091139433,CUS1906,2022-03-24 00:00:00.000,2.00,84.39,87.00,1,1
pup169,Township,Free State,Viljoenskroon,PAR4091167851,CUS1973,2022-03-09 00:00:00.000,1.00,0.00,60.00,1,1
pup1693,Township,Western Cape,Gardens,PAR4091111008,CUS1150,2022-03-24 00:00:00.000,2.00,53.30,60.00,1,1
pup1695,Central,KwaZulu-Natal,Salt Rock,PAR4068708948,CUS2087,2022-03-16 00:00:00.000,4.00,84.39,97.00,1,1
pup1695,Central,KwaZulu-Natal,Salt Rock,PAR4068711150,CUS1946,2022-03-30 00:00:00.000,3.00,73.83,78.00,1,1
pup1695,Central,KwaZulu-Natal,Salt Rock,PAR4068776936,CUS1492,2022-03-29 00:00:00.000,4.00,53.30,62.00,1,1
pup1695,Central,KwaZulu-Natal,Salt Rock,PAR4091179815,CUS1911,2022-03-10 00:00:00.000,1.00,53.30,77.00,1,1
pup1695,Central,KwaZulu-Natal,Salt Rock,PAR4091196670,CUS1109,2022-03-24 00:00:00.000,2.00,217.58,228.00,1,1
pup1708,Central,Western Cape,Stellenbosch,PAR4091122968,CUS1284,2022-03-24 00:00:00.000,2.00,84.39,94.00,1,1
pup1742,Regional,Gauteng,Sandton,PAR4068794054,CUS1886,2022-03-25 00:00:00.000,1.00,42.16,55.00,1,1
pup1759,Township,KwaZulu-Natal,Scottburgh,PAR4091135012,CUS1240,2022-03-24 00:00:00.000,1.00,84.39,86.00,1,1
pup1763,Regional,KwaZulu-Natal,Umzimkulu,PAR4091109711,CUS1974,2022-03-11 00:00:00.000,2.00,0.00,60.00,1,1
pup180,Township,KwaZulu-Natal,Newcastle,PAR4068721237,CUS1535,2022-03-26 00:00:00.000,3.00,84.39,102.00,1,1
pup1849,Central,Western Cape,Uniondale,PAR4091192851,CUS1211,2022-03-16 00:00:00.000,4.00,42.16,49.00,1,1
pup1853,Regional,Limpopo,Bochum,PAR4091177837,CUS1977,2022-03-09 00:00:00.000,2.00,42.16,56.00,1,1
pup1854,Central,Eastern Cape,Steynsburg,PAR4091113244,CUS2077,2022-03-09 00:00:00.000,2.00,42.16,50.00,1,1
pup1862,Regional,Eastern Cape,Tsolo,PAR4091198119,CUS1474,2022-03-16 00:00:00.000,3.00,84.39,122.00,1,1
pup187,Regional,Free State,Vaalpark,PAR4068722769,CUS1025,2022-03-25 00:00:00.000,1.00,73.83,87.00,1,1
pup187,Regional,Free State,Vaalpark,PAR4068771779,CUS1309,2022-03-19 00:00:00.000,3.00,42.16,56.00,1,1
pup1879,Regional,Gauteng,Krugersdorp,PAR4068723359,CUS1763,2022-03-30 00:00:00.000,3.00,73.83,77.00,1,1
pup1892,Regional,Gauteng,Tierpoort,PAR4091129573,CUS1115,2022-03-25 00:00:00.000,2.00,84.39,110.00,1,1
pup1907,Central,Western Cape,Melkbosstrand,PAR4068794769,CUS1063,2022-03-28 00:00:00.000,2.00,0.00,60.00,1,1
pup1928,Township,Limpopo,Polokwane,PAR4068774266,CUS1769,2022-03-30 00:00:00.000,3.00,73.83,103.00,1,1
pup1932,Regional,Mpumalanga,Hazyview,PAR4091189896,CUS1592,2022-03-09 00:00:00.000,4.00,73.83,103.00,1,1
pup1934,Regional,KwaZulu-Natal,Dalton,PAR4068734194,CUS1490,2022-03-22 00:00:00.000,3.00,84.39,92.00,1,1
pup1934,Regional,KwaZulu-Natal,Dalton,PAR4091111863,CUS1976,2022-03-11 00:00:00.000,3.00,217.58,249.00,1,1
pup1935,Regional,Gauteng,Centurion,PAR4068788186,CUS1258,2022-03-24 00:00:00.000,1.00,84.39,102.00,1,1
pup1935,Regional,Gauteng,Centurion,PAR4091134310,CUS1347,2022-03-17 00:00:00.000,4.00,73.83,79.00,1,1
pup1940,Regional,Western Cape,Century City,PAR4068767555,CUS1384,2022-03-19 00:00:00.000,1.00,84.39,114.00,1,1
pup1941,Regional,Western Cape,Tokai,PAR4091198323,CUS1776,2022-03-22 00:00:00.000,3.00,0.00,0.00,1,1
pup1942,Central,Western Cape,Brakenfell,PAR4068714631,CUS2113,2022-03-14 00:00:00.000,1.00,0.00,60.00,1,1
pup1942,Central,Western Cape,Brakenfell,PAR4068758978,CUS1968,2022-03-30 00:00:00.000,2.00,84.39,115.00,1,1
pup1942,Central,Western Cape,Brakenfell,PAR4091186389,CUS1016,2022-03-29 00:00:00.000,1.00,42.16,46.00,1,1
pup1943,Central,Western Cape,Claremont,PAR4068749989,CUS2142,2022-03-09 00:00:00.000,3.00,42.16,52.00,1,1
pup1943,Central,Western Cape,Claremont,PAR4091166789,CUS1776,2022-03-15 00:00:00.000,3.00,73.83,86.00,1,1
pup1944,Central,Western Cape,Constantia,PAR4068756779,CUS1317,2022-03-25 00:00:00.000,1.00,84.39,106.00,1,1
pup1944,Central,Western Cape,Constantia,PAR4091137716,CUS1938,2022-03-09 00:00:00.000,3.00,42.16,58.00,1,1
pup1944,Central,Western Cape,Constantia,PAR4091165283,CUS1600,2022-03-10 00:00:00.000,5.00,0.00,60.00,1,1
pup1944,Central,Western Cape,Constantia,PAR4091174672,CUS1897,2022-03-18 00:00:00.000,2.00,53.30,61.00,1,1
pup1946,Regional,Western Cape,V & A Waterfront,PAR4068706106,CUS1975,2022-03-24 00:00:00.000,1.00,84.39,101.00,1,1
pup1947,Township,Western Cape,Bellville,PAR4068732320,CUS1459,2022-03-22 00:00:00.000,2.00,0.00,60.00,1,1
pup1947,Township,Western Cape,Bellville,PAR4091119544,CUS1264,2022-03-22 00:00:00.000,4.00,73.83,97.00,1,1
pup1947,Township,Western Cape,Bellville,PAR4091180430,CUS1641,2022-03-28 00:00:00.000,4.00,42.16,48.00,1,1
pup1949,Regional,Western Cape,Sunningdale,PAR4068771505,CUS1873,2022-03-17 00:00:00.000,3.00,84.39,102.00,1,1
pup1949,Regional,Western Cape,Sunningdale,PAR4068792715,CUS1967,2022-03-30 00:00:00.000,2.00,53.30,73.00,1,1
pup1949,Regional,Western Cape,Sunningdale,PAR4091103955,CUS2006,2022-03-31 00:00:00.000,2.00,84.39,91.00,1,1
pup1949,Regional,Western Cape,Sunningdale,PAR4091121948,CUS1237,2022-03-11 00:00:00.000,1.00,84.39,90.00,1,1
pup1949,Regional,Western Cape,Sunningdale,PAR4091191167,CUS1471,2022-03-09 00:00:00.000,1.00,42.16,58.00,1,1
pup1953,Regional,KwaZulu-Natal,La Lucia,PAR4091115996,CUS1888,2022-03-10 00:00:00.000,2.00,84.39,90.00,1,1
pup1953,Regional,KwaZulu-Natal,La Lucia,PAR4091132718,CUS1537,2022-03-29 00:00:00.000,1.00,53.30,66.00,1,1
pup1953,Regional,KwaZulu-Natal,La Lucia,PAR4091140910,CUS1616,2022-03-16 00:00:00.000,3.00,53.30,75.00,1,1
pup1954,Regional,KwaZulu-Natal,Waterfall,PAR4091192652,CUS1111,2022-03-23 00:00:00.000,2.00,53.30,55.00,1,1
pup1955,Township,Eastern Cape,Cambridge West,PAR4091110010,CUS2180,2022-03-12 00:00:00.000,5.00,84.39,105.00,1,1
pup1956,Central,Eastern Cape,Vincent Park,PAR4068731346,CUS1580,2022-03-18 00:00:00.000,5.00,84.39,122.00,1,1
pup1956,Central,Eastern Cape,Vincent Park,PAR4068737144,CUS1027,2022-03-29 00:00:00.000,1.00,53.30,72.00,1,1
pup1958,Township,Western Cape,George,PAR4091105789,CUS2104,2022-03-18 00:00:00.000,3.00,73.83,82.00,1,1
